"...1","Hunter Sulte
Indy Eleven","Elvis Amoh
Indy Eleven","Jack Blake
Indy Eleven","Oliver Brynéus
Indy Eleven","Reice Charles-Cook
Indy Eleven","Elliot Collier
Indy Eleven","Maalique Foster
Indy Eleven","Patrick Hogan
Indy Eleven","Ryan Hunsucker
Indy Eleven","Edward Kizza
Indy Eleven","Cameron Lindley
Indy Eleven","Maverick McCoy
Indy Eleven","Finn McRobb
Indy Eleven","James Murphy
Indy Eleven","James Musa
Indy Eleven","Logan Neidlinger
Indy Eleven","Josh O'brien
Indy Eleven","Benjamin Ofeimu
Indy Eleven","Aodhan Quinn
Indy Eleven","Bruno Manuel Rendón
Indy Eleven","Brem Soumaoro
Indy Eleven","Aedan Stanley
Indy Eleven","Hayden White
Indy Eleven","Romario Williams
Indy Eleven"
"Games played","18.0",20,21,"10.0","3.0","14.0",18,19,"0.0",20,17,"0.0","9.0",21,20,"7.0","15.0",17,21,17,"4.0","8.0","11.0",12
"Minutes played","1620.0",917,1694,"348.0","270.0","262.0",1346,1229,"0.0",803,989,"0.0","458.0",1762,1789,"133.0","785.0",1303,1809,1230,"58.0","680.0","619.0",604
"Starts","18.0",11,21,"3.0","3.0","0.0",16,12,"0.0",8,10,"0.0","5.0",20,20,"0.0","10.0",15,21,15,"1.0","8.0","8.0",6
"Subbed on","0.0",9,0,"7.0","0.0","14.0",2,7,"0.0",12,7,"0.0","4.0",1,0,"7.0","5.0",2,0,2,"3.0","0.0","3.0",6
"Subbed off","0.0",11,13,"3.0","0.0","0.0",10,2,"0.0",7,4,"0.0","3.0",4,1,"0.0","7.0",2,6,6,"1.0","2.0","4.0",5
"Goals conceded","31.0",17,36,"10.0","9.0","5.0",33,27,"0.0",18,16,"0.0","11.0",38,36,"4.0","13.0",28,38,23,"1.0","16.0","12.0",17
"Saves","47.0",0,0,"0.0","6.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Catches","15.0",0,0,"0.0","2.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Punches","8.0",0,0,"0.0","1.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Goals","0.0",5,7,"0.0","0.0","0.0",2,2,"0.0",2,1,"0.0","0.0",1,1,"0.0","0.0",2,3,1,"0.0","0.0","0.0",5
"Penalties","0.0",0,4,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Minutes per goal","-",183.4,242,"-","-","-",673,614.5,"-",401.5,989,"-","-",1762,1789,"-","-",651.5,603,1230,"-","-","-",120.8
"Shots on target","0.0",9,17,"3.0","0.0","2.0",9,3,"0.0",7,1,"0.0","1.0",5,2,"0.0","0.0",5,6,4,"0.0","1.0","0.0",9
"Shooting accuracy","-",50,48.6,"33.3","-","40.0",34.6,50,"-",58.3,50,"-","33.3",50,40,"-","0.0",62.5,33.3,25,"0.0","100.0","-",60
"Successful crosses","0.0",0,3,"2.0","0.0","0.0",2,0,"0.0",2,1,"0.0","5.0",6,1,"3.0","1.0",1,12,6,"0.0","5.0","1.0",0
"Crossing accuracy","-",0,15,"16.7","-","0.0",4.9,0,"-",50,8.3,"-","31.3",33.3,25,"50.0","100.0",33.3,19.7,16.2,"0.0","18.5","10.0",0
"Assists","0.0",1,4,"1.0","0.0","1.0",3,0,"0.0",1,2,"0.0","0.0",2,1,"0.0","0.0",0,7,0,"0.0","0.0","0.0",0
"Key Passes","0.0",9,18,"5.0","1.0","3.0",16,2,"0.0",7,12,"0.0","4.0",20,3,"1.0","0.0",3,22,9,"0.0","3.0","2.0",3
"Penalties won","0.0",0,1,"0.0","0.0","0.0",1,0,"0.0",1,0,"0.0","0.0",0,1,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Offsides","0.0",6,2,"2.0","0.0","2.0",7,3,"0.0",8,0,"0.0","0.0",0,2,"0.0","0.0",0,5,3,"0.0","0.0","0.0",6
"Tackles won","0.0",7,20,"3.0","0.0","5.0",7,10,"0.0",4,9,"0.0","5.0",23,15,"5.0","9.0",12,18,20,"2.0","9.0","7.0",5
"Tackles success rate","-",58.3,74.1,"60.0","-","71.4",53.8,71.4,"-",44.4,69.2,"-","50.0",54.8,71.4,"83.3","64.3",54.5,66.7,69,"100.0","81.8","87.5",50
"Clearances","18.0",11,15,"5.0","3.0","1.0",2,124,"0.0",3,7,"0.0","21.0",23,120,"6.0","34.0",91,41,26,"0.0","21.0","15.0",7
"Blocks","0.0",2,3,"1.0","0.0","0.0",2,12,"0.0",0,2,"0.0","2.0",7,7,"0.0","2.0",14,4,1,"1.0","2.0","2.0",0
"Interceptions","0.0",2,5,"1.0","0.0","0.0",6,17,"0.0",3,10,"0.0","3.0",20,25,"6.0","4.0",11,12,6,"0.0","7.0","4.0",0
"Successful passes","200.0",120,481,"56.0","28.0","50.0",254,351,"0.0",142,410,"0.0","162.0",691,549,"25.0","151.0",383,533,237,"23.0","209.0","161.0",90
"Passing accuracy","51.0",67.8,76.2,"70.0","38.4","70.4",79.9,80,"-",83,83.2,"-","77.1",80.8,78.8,"59.5","73.3",82.7,74.4,65.8,"92.0","79.2","75.6",78.3
"Passing accuracy in opponents' half (%)","29.1",62.1,69.2,"57.7","25.9","67.2",66.8,57.5,"-",77.9,73.6,"-","66.4",71.4,65.2,"64.5","62.9",72.9,60.8,55.2,"82.4","64.4","65.7",75.5
"Successful dribbles","0.0",13,4,"2.0","0.0","4.0",22,0,"0.0",1,2,"0.0","2.0",2,4,"2.0","1.0",2,5,5,"1.0","2.0","1.0",3
"Fouls won","1.0",19,33,"1.0","0.0","6.0",30,5,"0.0",15,13,"0.0","3.0",22,25,"1.0","8.0",8,15,18,"0.0","10.0","5.0",11
"Fouls conceded","0.0",21,33,"5.0","0.0","3.0",20,16,"0.0",17,16,"0.0","7.0",23,31,"3.0","10.0",13,23,23,"1.0","10.0","14.0",13
"Penalties conceded","0.0",0,1,"0.0","0.0","0.0",0,0,"0.0",1,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","1.0",0
"Yellow cards","1.0",1,3,"0.0","1.0","1.0",4,2,"0.0",2,1,"0.0","1.0",5,6,"0.0","2.0",2,3,3,"0.0","0.0","2.0",1
"Red cards","0.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,1,"0.0","0.0","1.0",0
