"...1","Hunter Sulte
Indy Eleven","Elvis Amoh
Indy Eleven","Jack Blake
Indy Eleven","Oliver Brynéus
Indy Eleven","Reice Charles-Cook
Indy Eleven","Elliot Collier
Indy Eleven","Maalique Foster
Indy Eleven","Patrick Hogan
Indy Eleven","Ryan Hunsucker
Indy Eleven","Edward Kizza
Indy Eleven","Cameron Lindley
Indy Eleven","Maverick McCoy
Indy Eleven","Finn McRobb
Indy Eleven","James Murphy
Indy Eleven","James Musa
Indy Eleven","Logan Neidlinger
Indy Eleven","Josh O'brien
Indy Eleven","Benjamin Ofeimu
Indy Eleven","Aodhan Quinn
Indy Eleven","Bruno Manuel Rendón
Indy Eleven","Brem Soumaoro
Indy Eleven","Aedan Stanley
Indy Eleven","Hayden White
Indy Eleven","Romario Williams
Indy Eleven"
"Games played","18.0",18,19,"9.0","1.0","12.0",16,18,"0.0",18,15,"0.0","9.0",19,18,"7.0","14.0",15,19,15,"3.0","8.0","11.0",10
"Minutes played","1620.0",802,1514,"343.0","90.0","237.0",1182,1139,"0.0",702,854,"0.0","458.0",1641,1609,"133.0","731.0",1123,1629,1050,"55.0","680.0","619.0",517
"Starts","18.0",10,19,"3.0","1.0","0.0",14,11,"0.0",7,9,"0.0","5.0",18,18,"0.0","9.0",13,19,13,"1.0","8.0","8.0",5
"Subbed on","0.0",8,0,"6.0","0.0","12.0",2,7,"0.0",11,6,"0.0","4.0",1,0,"7.0","5.0",2,0,2,"2.0","0.0","3.0",5
"Subbed off","0.0",10,13,"3.0","0.0","0.0",8,2,"0.0",6,4,"0.0","3.0",2,1,"0.0","6.0",2,6,6,"1.0","2.0","4.0",4
"Goals conceded","31.0",15,31,"10.0","4.0","4.0",29,25,"0.0",17,12,"0.0","11.0",34,31,"4.0","11.0",23,33,18,"0.0","16.0","12.0",13
"Saves","47.0",0,0,"0.0","3.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Catches","15.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Punches","8.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Goals","0.0",5,5,"0.0","0.0","0.0",2,1,"0.0",2,1,"0.0","0.0",1,1,"0.0","0.0",2,3,1,"0.0","0.0","0.0",4
"Penalties","0.0",0,3,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Minutes per goal","-",160.4,302.8,"-","-","-",591,1139,"-",351,854,"-","-",1641,1609,"-","-",561.5,543,1050,"-","-","-",129.3
"Shots on target","0.0",9,13,"3.0","0.0","2.0",7,2,"0.0",6,1,"0.0","1.0",4,2,"0.0","0.0",5,5,4,"0.0","1.0","0.0",6
"Shooting accuracy","-",52.9,44.8,"33.3","-","40.0",30.4,40,"-",54.5,50,"-","33.3",44.4,40,"-","0.0",62.5,29.4,28.6,"0.0","100.0","-",54.5
"Successful crosses","0.0",0,3,"2.0","0.0","0.0",2,0,"0.0",2,0,"0.0","5.0",6,1,"3.0","1.0",1,6,5,"0.0","5.0","1.0",0
"Crossing accuracy","-",0,15,"16.7","-","0.0",5.3,0,"-",50,0,"-","31.3",33.3,25,"50.0","100.0",33.3,12.2,17.2,"0.0","18.5","10.0",0
"Assists","0.0",1,4,"1.0","0.0","1.0",2,0,"0.0",1,1,"0.0","0.0",2,1,"0.0","0.0",0,6,0,"0.0","0.0","0.0",0
"Key Passes","0.0",9,17,"5.0","0.0","3.0",15,2,"0.0",7,9,"0.0","4.0",20,3,"1.0","0.0",3,16,8,"0.0","3.0","2.0",2
"Penalties won","0.0",0,0,"0.0","0.0","0.0",1,0,"0.0",1,0,"0.0","0.0",0,1,"0.0","0.0",0,0,0,"0.0","0.0","0.0",0
"Offsides","0.0",6,2,"2.0","0.0","0.0",5,3,"0.0",8,0,"0.0","0.0",0,2,"0.0","0.0",0,5,2,"0.0","0.0","0.0",5
"Tackles won","0.0",6,16,"3.0","0.0","5.0",6,9,"0.0",3,8,"0.0","5.0",22,14,"5.0","8.0",11,16,17,"2.0","9.0","7.0",5
"Tackles success rate","-",54.5,69.6,"60.0","-","71.4",50,75,"-",37.5,66.7,"-","50.0",53.7,73.7,"83.3","61.5",68.8,66.7,65.4,"100.0","81.8","87.5",55.6
"Clearances","18.0",10,12,"5.0","2.0","1.0",2,118,"0.0",2,6,"0.0","21.0",19,106,"6.0","30.0",80,38,22,"0.0","21.0","15.0",6
"Blocks","0.0",2,3,"1.0","0.0","0.0",1,10,"0.0",0,1,"0.0","2.0",6,6,"0.0","2.0",14,4,1,"1.0","2.0","2.0",0
"Interceptions","0.0",2,5,"1.0","0.0","0.0",6,16,"0.0",3,10,"0.0","3.0",18,23,"6.0","4.0",7,11,5,"0.0","7.0","4.0",0
"Successful passes","200.0",110,417,"55.0","12.0","48.0",228,341,"0.0",128,373,"0.0","162.0",652,509,"25.0","146.0",343,506,202,"22.0","209.0","161.0",79
"Passing accuracy","51.0",68.3,76.2,"69.6","63.2","70.6",79.4,80.6,"-",81.5,83.3,"-","77.1",80.9,79.7,"59.5","74.1",83.9,75.7,66.4,"91.7","79.2","75.6",77.5
"Passing accuracy in opponents' half (%)","29.1",63.1,69.3,"57.1","45.5","69.0",66.5,58.7,"-",75.5,73.9,"-","66.4",71.6,66.9,"64.5","64.0",74.5,62.4,56.8,"82.4","64.4","65.7",73.5
"Successful dribbles","0.0",11,4,"2.0","0.0","2.0",21,0,"0.0",1,1,"0.0","2.0",2,4,"2.0","1.0",2,4,5,"1.0","2.0","1.0",2
"Fouls won","1.0",18,30,"1.0","0.0","5.0",26,4,"0.0",14,10,"0.0","3.0",20,23,"1.0","7.0",6,14,17,"0.0","10.0","5.0",9
"Fouls conceded","0.0",19,27,"5.0","0.0","2.0",16,14,"0.0",17,15,"0.0","7.0",19,27,"3.0","10.0",7,22,21,"1.0","10.0","14.0",12
"Penalties conceded","0.0",0,1,"0.0","0.0","0.0",0,0,"0.0",1,0,"0.0","0.0",0,0,"0.0","0.0",0,0,0,"0.0","0.0","1.0",0
"Yellow cards","1.0",1,3,"0.0","1.0","1.0",3,2,"0.0",2,1,"0.0","1.0",4,6,"0.0","2.0",1,2,3,"0.0","0.0","2.0",1
"Red cards","0.0",0,0,"0.0","0.0","0.0",0,0,"0.0",0,0,"0.0","0.0",0,0,"0.0","0.0",0,0,1,"0.0","0.0","1.0",0
