"...1","Eric Dick
Pittsburgh Riverhounds SC","Charles Ahl
Pittsburgh Riverhounds SC","Perrin Barnes
Pittsburgh Riverhounds SC","Luke Biasi
Pittsburgh Riverhounds SC","Chase Boone
Pittsburgh Riverhounds SC","Jason Bouregy
Pittsburgh Riverhounds SC","Max Broughton
Pittsburgh Riverhounds SC","Brunallergene Etou
Pittsburgh Riverhounds SC","Jorge Garcia
Pittsburgh Riverhounds SC","Daniel Griffin
Pittsburgh Riverhounds SC","Bertin Jacquesson
Pittsburgh Riverhounds SC","Brigham Larsen
Pittsburgh Riverhounds SC","Pablo Linzoain
Pittsburgh Riverhounds SC","Benjamin Martino
Pittsburgh Riverhounds SC","Robbie Mertz
Pittsburgh Riverhounds SC","Aidan O'Toole
Pittsburgh Riverhounds SC","Abdul Illal Osumanu
Pittsburgh Riverhounds SC","Jacob Randolph
Pittsburgh Riverhounds SC","Bradley Sample
Pittsburgh Riverhounds SC","Sean Suber
Pittsburgh Riverhounds SC","Guillaume Vacter
Pittsburgh Riverhounds SC","Jackson Walti
Pittsburgh Riverhounds SC","Augustine Williams
Pittsburgh Riverhounds SC","Roberto Ydrach
Pittsburgh Riverhounds SC"
"Games played","22.0",14,17,"21.0","3.0","10.0","11.0","18.0",9,22,16,"9.0","3.0","0.0","21.0","9.0","10.0","0.0",19,"22.0",15,"22.0",22,"21.0"
"Minutes played","1980.0",647,1513,"1718.0","83.0","283.0","98.0","750.0",204,1912,664,"49.0","12.0","0.0","1656.0","271.0","502.0","0.0",837,"1980.0",1345,"1799.0",1765,"1712.0"
"Starts","22.0",6,17,"21.0","0.0","3.0","0.0","7.0",1,21,6,"0.0","0.0","0.0","20.0","3.0","6.0","0.0",11,"22.0",15,"20.0",22,"19.0"
"Subbed on","0.0",8,0,"0.0","3.0","7.0","11.0","11.0",8,1,10,"9.0","3.0","0.0","1.0","6.0","4.0","0.0",8,"0.0",0,"2.0",0,"2.0"
"Subbed off","0.0",6,5,"10.0","0.0","3.0","0.0","4.0",1,0,6,"0.0","0.0","0.0","17.0","3.0","4.0","0.0",11,"0.0",1,"4.0",12,"7.0"
"Goals conceded","21.0",5,15,"16.0","1.0","3.0","5.0","8.0",3,20,6,"2.0","0.0","0.0","17.0","5.0","6.0","0.0",8,"21.0",12,"19.0",17,"20.0"
"Saves","52.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Catches","20.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Punches","1.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Goals","0.0",2,1,"0.0","0.0","0.0","0.0","0.0",1,4,1,"0.0","0.0","0.0","4.0","0.0","0.0","0.0",1,"0.0",1,"0.0",5,"0.0"
"Penalties","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",1,"0.0"
"Minutes per goal","-",323.5,1513,"-","-","-","-","-",204,478,664,"-","-","-","414.0","-","-","-",837,"-",1345,"-",353,"-"
"Shots on target","0.0",7,1,"0.0","0.0","2.0","0.0","1.0",1,10,5,"0.0","0.0","0.0","11.0","0.0","0.0","0.0",2,"2.0",1,"4.0",18,"4.0"
"Shooting accuracy","-",58.3,50,"0.0","-","66.7","-","50.0",25,43.5,38.5,"-","-","-","64.7","0.0","-","-",33.3,"22.2",25,"57.1",60,"44.4"
"Successful crosses","0.0",7,8,"12.0","2.0","0.0","0.0","6.0",0,2,3,"0.0","0.0","0.0","10.0","2.0","0.0","0.0",2,"2.0",2,"4.0",1,"3.0"
"Crossing accuracy","-",25.9,22.9,"30.8","28.6","0.0","-","15.8",0,20,21.4,"-","0.0","-","27.8","22.2","-","-",22.2,"66.7",28.6,"23.5",5.6,"13.0"
"Assists","0.0",0,0,"2.0","1.0","0.0","0.0","2.0",0,1,0,"0.0","0.0","0.0","2.0","0.0","0.0","0.0",0,"1.0",0,"0.0",0,"2.0"
"Key Passes","0.0",9,15,"13.0","4.0","0.0","0.0","3.0",2,16,4,"3.0","0.0","0.0","34.0","3.0","0.0","0.0",6,"7.0",8,"8.0",7,"7.0"
"Penalties won","0.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Offsides","0.0",3,0,"2.0","0.0","0.0","0.0","0.0",1,4,4,"0.0","0.0","0.0","2.0","1.0","0.0","0.0",0,"1.0",0,"0.0",29,"0.0"
"Tackles won","0.0",5,18,"37.0","0.0","2.0","1.0","18.0",2,16,3,"0.0","1.0","0.0","19.0","3.0","3.0","0.0",9,"15.0",20,"20.0",10,"20.0"
"Tackles success rate","0.0",62.5,66.7,"82.2","-","100.0","100.0","90.0",100,72.7,60,"-","33.3","-","54.3","60.0","60.0","-",60,"68.2",80,"57.1",55.6,"66.7"
"Clearances","18.0",3,53,"53.0","1.0","4.0","15.0","33.0",1,26,2,"1.0","0.0","0.0","5.0","7.0","30.0","0.0",13,"140.0",68,"27.0",9,"82.0"
"Blocks","0.0",0,6,"7.0","0.0","0.0","1.0","0.0",0,2,1,"0.0","0.0","0.0","0.0","1.0","3.0","0.0",1,"5.0",7,"3.0",3,"11.0"
"Interceptions","0.0",4,16,"14.0","0.0","2.0","0.0","8.0",0,21,0,"0.0","0.0","0.0","5.0","1.0","5.0","0.0",7,"14.0",19,"28.0",7,"20.0"
"Successful passes","205.0",198,332,"607.0","15.0","68.0","43.0","203.0",49,511,65,"17.0","1.0","0.0","504.0","66.0","230.0","0.0",250,"1049.0",539,"664.0",190,"708.0"
"Passing accuracy","49.5",77.6,75.8,"75.4","71.4","78.2","67.2","72.0",73.1,77.3,58,"56.7","50.0","-","83.7","78.6","80.1","-",80.1,"81.9",77.2,"80.3",69.1,"73.3"
"Passing accuracy in opponents' half (%)","26.7",62.3,64.9,"66.0","56.0","61.8","60.5","58.6",60.8,70.5,55.8,"57.1","0.0","-","68.2","67.2","65.2","-",71.3,"70.5",63.4,"69.0",59.3,"58.5"
"Successful dribbles","0.0",6,9,"15.0","0.0","2.0","1.0","7.0",3,9,6,"0.0","0.0","0.0","13.0","4.0","1.0","0.0",5,"8.0",3,"12.0",18,"5.0"
"Fouls won","5.0",21,19,"28.0","2.0","3.0","0.0","30.0",3,30,4,"1.0","0.0","0.0","30.0","7.0","0.0","0.0",12,"4.0",9,"13.0",36,"18.0"
"Fouls conceded","1.0",6,19,"26.0","4.0","3.0","0.0","15.0",8,29,9,"5.0","2.0","0.0","24.0","6.0","13.0","0.0",12,"10.0",24,"25.0",46,"21.0"
"Penalties conceded","1.0",0,0,"0.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
"Yellow cards","0.0",0,3,"8.0","0.0","0.0","0.0","1.0",1,5,1,"0.0","0.0","0.0","2.0","1.0","1.0","0.0",3,"1.0",2,"3.0",5,"4.0"
"Red cards","0.0",0,0,"1.0","0.0","0.0","0.0","0.0",0,0,0,"0.0","0.0","0.0","0.0","0.0","0.0","0.0",0,"0.0",0,"0.0",0,"0.0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0.0","0.0","20.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Brigham Larsen
Pittsburgh Riverhounds SC","Pablo Linzoain
Pittsburgh Riverhounds SC","Benjamin Martino
Pittsburgh Riverhounds SC","Robbie Mertz
Pittsburgh Riverhounds SC",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.0","3.0","0.0","21.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"49.0","12.0","0.0","1656.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0.0","0.0","20.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"9.0","3.0","0.0","1.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0.0","0.0","0.0","17.0",NA,NA,NA,NA,NA,NA,NA,NA,NA
