"...1","Alex Tambakis
New Mexico United","Mukwelle Akale
New Mexico United","Thomas Amang
New Mexico United","Zico Bailey
New Mexico United","Daniel Bruce
New Mexico United","Djibril Doumbia
New Mexico United","Jackson DuBois
New Mexico United","Ricks Ford
New Mexico United","Orrin McKinze Gaines II
New Mexico United","Christopher Gloster
New Mexico United","Dayonn Harris
New Mexico United","Anthony Herbert
New Mexico United","Kyle Hofmann
New Mexico United","Greg Hurst
New Mexico United","Ousman Jabang
New Mexico United","Jaylin Lindsey
New Mexico United","Derek Lozano
New Mexico United","Jon-Talen Maples
New Mexico United","Luiz Fernando
New Mexico United","Valentin Noël
New Mexico United","Tomas Pondeca
New Mexico United","Sergio Rivas
New Mexico United","Kalen Ryden
New Mexico United","Jace Sais
New Mexico United","Will Seymore
New Mexico United","Kristopher Shakes
New Mexico United","Marlon Vargas
New Mexico United","Gedion Zelalem
New Mexico United"
"Games played","15.0",17,11,13,"10.0","0.0","1.0","3.0",14,13,"2.0","8.0","0.0",8,14,17,"0.0",17,16,19,"12.0","11.0","11.0","1.0",17,"3.0",16,"15.0"
"Minutes played","1317.0",1386,435,1020,"187.0","0.0","12.0","8.0",512,838,"47.0","248.0","0.0",566,1193,1250,"0.0",1530,1207,1655,"227.0","410.0","918.0","3.0",1105,"210.0",1122,"1001.0"
"Starts","15.0",16,5,12,"0.0","0.0","0.0","0.0",6,9,"0.0","3.0","0.0",7,14,14,"0.0",17,14,19,"2.0","3.0","11.0","0.0",12,"2.0",13,"12.0"
"Subbed on","0.0",1,6,1,"10.0","0.0","1.0","3.0",8,4,"2.0","5.0","0.0",1,0,3,"0.0",0,2,0,"10.0","8.0","0.0","1.0",5,"1.0",3,"3.0"
"Subbed off","0.0",8,5,7,"0.0","0.0","0.0","0.0",6,2,"0.0","2.0","0.0",5,5,4,"0.0",0,7,3,"3.0","1.0","1.0","0.0",5,"0.0",9,"8.0"
"Goals conceded","20.0",24,7,20,"4.0","0.0","1.0","0.0",6,20,"2.0","5.0","0.0",11,19,20,"0.0",26,18,35,"4.0","7.0","6.0","0.0",18,"6.0",17,"18.0"
"Saves","37.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"6.0",0,"0.0"
"Catches","6.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"1.0",0,"0.0"
"Punches","2.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",0,0,0,"0.0","0.0","0.0","0.0",0,"0.0",0,"0.0"
"Goals","0.0",2,1,1,"0.0","0.0","0.0","0.0",2,1,"0.0","0.0","0.0",4,2,1,"0.0",3,4,1,"0.0","0.0","0.0","0.0",1,"0.0",2,"0.0"
"Penalties","0.0",0,0,0,"0.0","0.0","0.0","0.0",0,0,"0.0","0.0","0.0",0,0,0,"0.0",3,0,1,"0.0","0.0","0.0","0.0",0,"0.0",0,"0.0"
"Minutes per goal","-",693,435,1020,"-","-","-","-",256,838,"-","-","-",141.5,596.5,1250,"-",510,301.8,1655,"-","-","-","-",1105,"-",561,"-"
"Shots on target","0.0",8,2,3,"3.0","0.0","0.0","0.0",6,3,"1.0","0.0","0.0",9,3,5,"0.0",3,9,10,"1.0","2.0","0.0","0.0",1,"0.0",12,"0.0"
"Shooting accuracy","-",50,25,42.9,"100.0","-","-","-",66.7,75,"100.0","-","-",81.8,27.3,71.4,"-",75,47.4,45.5,"25.0","50.0","0.0","-",14.3,"-",57.1,"0.0"
"Successful crosses","0.0",7,1,1,"0.0","0.0","0.0","0.0",3,1,"1.0","0.0","0.0",0,2,5,"0.0",0,7,3,"0.0","1.0","0.0","0.0",1,"0.0",2,"1.0"
"Crossing accuracy","-",30.4,50,14.3,"0.0","-","-","0.0",20,5,"25.0","0.0","-",0,28.6,14.7,"-",0,35,17.6,"0.0","100.0","-","-",12.5,"-",15.4,"12.5"
