"...1","Triston Henry
Phoenix Rising FC","Alejandro Araneda
Phoenix Rising FC","Hope Avayevu
Phoenix Rising FC","Alexander Balanzar De la Cruz
Phoenix Rising FC","Pape Boye
Phoenix Rising FC","Rémi Cabral
Phoenix Rising FC","Emil Cuello
Phoenix Rising FC","Zachary DaSilva
Phoenix Rising FC","Charlie Dennis
Phoenix Rising FC","Giulio Doratiotto
Phoenix Rising FC","Xian Emmers
Phoenix Rising FC","Axel Essengue
Phoenix Rising FC","Ryan Flood
Phoenix Rising FC","Daniel Flores
Phoenix Rising FC","Dariusz Formella
Phoenix Rising FC","Anthony Hernandez
Phoenix Rising FC","Darius Johnson
Phoenix Rising FC","Darnell King
Phoenix Rising FC","Cyrus Kowall
Phoenix Rising FC","Jearl Margaritha
Phoenix Rising FC","Braxton Montgomery
Phoenix Rising FC","Harvey Neville
Phoenix Rising FC","Noble Okello
Phoenix Rising FC","Jamison Ping
Phoenix Rising FC","Patrick Rakovsky
Phoenix Rising FC","Damian Rivera
Phoenix Rising FC","Pierce Rizzo
Phoenix Rising FC","Ihsan Sacko
Phoenix Rising FC","Carl-Fred Sainte
Phoenix Rising FC","John Scearce
Phoenix Rising FC","Tristan Shaw
Phoenix Rising FC","Collin Smith
Phoenix Rising FC","Mohamed Traore
Phoenix Rising FC","Jan Villegas
Phoenix Rising FC","Casey Walls
Phoenix Rising FC"
"Games played","4.0","1.0",20,"0.0","8.0",12,13,"0.0",10,"1.0","9.0",13,12,"2.0",19,"0.0",16,"1.0","3.0",11,"16.0","9.0",17,"10.0","16.0",12,5,20,"14.0",14,"0.0",16,"6.0","0.0","2.0"
"Minutes played","360.0","1.0",1583,"0.0","608.0",743,635,"0.0",475,"1.0","376.0",1161,717,"111.0",1059,"0.0",630,"21.0","70.0",661,"1088.0","569.0",1271,"231.0","1440.0",629,325,1325,"956.0",1057,"0.0",1395,"389.0","0.0","107.0"
"Starts","4.0","0.0",18,"0.0","7.0",9,7,"0.0",4,"0.0","5.0",13,8,"1.0",12,"0.0",4,"0.0","1.0",8,"13.0","7.0",16,"2.0","16.0",7,4,15,"11.0",11,"0.0",15,"4.0","0.0","1.0"
"Subbed on","0.0","1.0",2,"0.0","1.0",3,6,"0.0",6,"1.0","4.0",0,4,"1.0",7,"0.0",12,"1.0","2.0",3,"3.0","2.0",1,"8.0","0.0",5,1,5,"3.0",3,"0.0",1,"2.0","0.0","1.0"
"Subbed off","0.0","0.0",12,"0.0","0.0",7,4,"0.0",2,"0.0","5.0",1,4,"1.0",6,"0.0",1,"0.0","1.0",4,"4.0","5.0",8,"2.0","0.0",6,3,9,"3.0",1,"0.0",0,"0.0","0.0","1.0"
"Goals conceded","9.0","0.0",30,"0.0","15.0",13,17,"0.0",12,"0.0","10.0",20,14,"1.0",20,"0.0",17,"1.0","2.0",10,"17.0","16.0",20,"3.0","27.0",13,9,28,"19.0",17,"0.0",24,"8.0","0.0","5.0"
"Saves","11.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","39.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0"
"Catches","3.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","8.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0"
"Punches","1.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","11.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0"
"Goals","0.0","0.0",5,"0.0","0.0",3,1,"0.0",3,"0.0","0.0",1,1,"0.0",1,"0.0",1,"0.0","0.0",3,"0.0","0.0",2,"0.0","0.0",2,1,4,"0.0",1,"0.0",1,"1.0","0.0","0.0"
"Penalties","0.0","0.0",0,"0.0","0.0",1,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","0.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0"
"Minutes per goal","-","-",316.6,"-","-",247.7,635,"-",158.3,"-","-",1161,717,"-",1059,"-",630,"-","-",220.3,"-","-",635.5,"-","-",314.5,325,331.3,"-",1057,"-",1395,"389.0","-","-"
"Shots on target","0.0","0.0",13,"0.0","1.0",8,1,"0.0",5,"0.0","1.0",2,1,"0.0",4,"0.0",3,"0.0","0.0",4,"0.0","1.0",2,"1.0","0.0",5,1,8,"1.0",2,"0.0",3,"2.0","0.0","0.0"
"Shooting accuracy","-","-",50,"-","20.0",50,33.3,"-",71.4,"-","33.3",50,100,"-",30.8,"-",75,"-","-",44.4,"-","100.0",33.3,"100.0","-",83.3,33.3,44.4,"50.0",25,"-",42.9,"100.0","-","-"
"Successful crosses","0.0","0.0",2,"0.0","1.0",0,5,"0.0",4,"0.0","0.0",0,0,"0.0",0,"0.0",1,"0.0","0.0",3,"0.0","5.0",2,"0.0","0.0",2,0,2,"0.0",0,"0.0",4,"0.0","0.0","0.0"
"Crossing accuracy","-","-",11.8,"-","100.0",0,33.3,"-",20,"-","0.0",0,0,"0.0",0,"-",7.1,"-","0.0",13.6,"0.0","29.4",22.2,"0.0","-",20,0,12.5,"-",0,"-",15.4,"-","-","-"
"Assists","0.0","0.0",8,"0.0","0.0",2,0,"0.0",0,"0.0","0.0",0,0,"0.0",2,"0.0",2,"0.0","0.0",2,"0.0","1.0",1,"1.0","0.0",0,0,5,"0.0",0,"0.0",2,"0.0","0.0","0.0"
"Key Passes","0.0","0.0",29,"0.0","1.0",2,4,"0.0",5,"0.0","1.0",2,1,"0.0",6,"0.0",4,"0.0","1.0",7,"1.0","6.0",9,"0.0","0.0",8,0,16,"0.0",4,"0.0",7,"0.0","0.0","0.0"
"Penalties won","0.0","0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0","0.0",0,0,"0.0",0,"0.0",0,"0.0","0.0",0,"0.0","0.0",0,"0.0","0.0",0,0,0,"0.0",0,"0.0",0,"0.0","0.0","0.0"
"Offsides","0.0","0.0",2,"0.0","0.0",8,0,"0.0",1,"0.0","0.0",0,0,"0.0",4,"0.0",2,"0.0","0.0",3,"0.0","0.0",2,"0.0","0.0",3,0,22,"0.0",1,"0.0",0,"0.0","0.0","0.0"
"Tackles won","0.0","0.0",18,"0.0","6.0",2,11,"0.0",6,"0.0","3.0",11,4,"0.0",6,"0.0",4,"0.0","1.0",3,"14.0","5.0",16,"2.0","0.0",3,9,3,"9.0",16,"0.0",14,"10.0","0.0","0.0"
"Tackles success rate","-","-",62.1,"-","66.7",66.7,84.6,"-",75,"-","50.0",73.3,80,"0.0",60,"-",66.7,"-","100.0",100,"70.0","100.0",80,"66.7","0.0",60,90,50,"64.3",57.1,"-",70,"83.3","-","-"
"Clearances","6.0","0.0",20,"0.0","39.0",1,23,"0.0",5,"0.0","0.0",47,27,"5.0",11,"0.0",6,"2.0","0.0",2,"36.0","10.0",29,"1.0","18.0",3,3,5,"20.0",35,"0.0",46,"16.0","0.0","10.0"
"Blocks","0.0","0.0",1,"0.0","2.0",1,2,"0.0",3,"0.0","0.0",9,4,"0.0",1,"0.0",1,"1.0","0.0",0,"12.0","0.0",7,"0.0","0.0",0,2,4,"5.0",7,"0.0",3,"2.0","0.0","3.0"
